Samples,Feature 1,Feature 2,Output
1,0.7,48000,1
2,1.9,48000,0
3,2.5,60000,1
4,4.2,63000,0
5,6,76000,0
6,6.5,69000,0
7,7.5,76000,0
8,8.1,88000,0
9,8.7,83000,1
10,10,83000,1
11,0.8,43000,0
12,1.8,60000,0
13,10,79000,1
14,6.1,76000,0
15,1.4,50000,0
16,9.1,92000,0
17,5.8,75000,0
18,5.2,69000,0
19,1,56000,0
20,6,67000,0
21,4.9,74000,0
22,6.4,63000,1
23,6.2,82000,0
24,3.3,58000,0
25,9.3,90000,1
26,5.5,57000,1
27,9.1,102000,0
28,2.4,54000,0
29,8.2,65000,1
30,5.3,82000,0
31,9.8,107000,0
32,1.8,64000,0
33,0.6,46000,1
34,0.8,48000,0
35,8.6,84000,1
36,0.6,45000,0
37,0.5,30000,1
38,7.3,89000,0
39,2.5,48000,1
40,5.6,76000,0
41,7.4,77000,0
42,2.7,56000,0
43,0.7,48000,0
44,1.2,42000,0
45,0.2,32000,1
46,4.7,56000,1
47,2.8,44000,1
48,7.6,78000,0
49,1.1,63000,0
50,8,79000,1
51,2.7,56000,0
52,6,52000,1
53,4.6,56000,0
54,2.5,51000,0
55,5.7,71000,0
56,2.9,65000,0
57,1.1,33000,1
58,3,62000,0
59,4,71000,0
60,2.4,61000,0
61,7.5,75000,0
62,9.7,81000,1
63,3.2,62000,0
64,7.9,88000,0
65,4.7,44000,1
66,2.5,55000,0
67,1.6,41000,0
68,6.7,64000,1
69,6.9,66000,1
70,7.9,78000,1
71,8.1,102000,0
72,5.3,48000,1
73,8.5,66000,1
74,0.2,56000,0
75,6,69000,0
76,7.5,77000,0
77,8,86000,0
78,4.4,68000,0
79,4.9,75000,0
80,1.5,60000,0
81,2.2,50000,0
82,3.4,49000,1
83,4.2,70000,0
84,7.7,98000,0
85,8.2,85000,0
86,5.4,88000,0
87,0.1,46000,0
88,1.5,37000,0
89,6.3,86000,0
90,3.7,57000,0
91,8.4,85000,0
92,2,42000,0
93,5.8,69000,1
94,2.7,64000,0
95,3.1,63000,0
96,1.9,48000,0
97,10,72000,1
98,0.2,45000,0
99,8.6,95000,0
100,1.5,64000,0
101,9.8,95000,0
102,5.3,65000,0
103,7.5,80000,0
104,9.9,91000,0
105,9.7,50000,1
106,2.8,68000,0
107,3.6,58000,0
108,3.9,74000,0
109,4.4,76000,0
110,2.5,49000,0
111,7.2,81000,0
112,5.2,60000,1
113,2.4,62000,0
114,8.9,94000,0
115,2.4,63000,0
116,6.8,69000,1
117,6.5,77000,0
118,7,86000,0
119,9.4,94000,0
120,7.8,72000,1
121,0.2,53000,0
122,10,97000,0
123,5.5,65000,0
124,7.7,71000,1
125,8.1,66000,1
126,9.8,91000,0
127,8,84000,0
128,2.7,55000,0
129,2.8,62000,0
130,9.4,79000,0
131,2.5,57000,0
132,7.4,70000,1
133,2.1,47000,0
134,5.3,62000,1
135,6.3,79000,0
136,6.8,58000,1
137,5.7,80000,0
138,2.2,61000,0
139,4.8,62000,0
140,3.7,64000,0
141,4.1,85000,0
142,2.3,51000,0
143,3.5,58000,0
144,0.9,43000,0
145,0.9,54000,0
146,4.5,74000,0
147,6.5,55000,1
148,4.1,41000,1
149,7.1,73000,0
150,1.1,66000,0
151,9.1,81000,1
152,8,69000,1
153,7.3,72000,1
154,3.3,50000,0
155,3.9,58000,0
156,2.6,49000,0
157,1.6,78000,0
158,0.7,56000,0
159,2.1,36000,1
160,7.5,90000,0
161,4.8,59000,1
162,8.9,95000,0
163,6.2,72000,0
164,6.3,63000,0
165,9.1,100000,0
166,7.3,61000,1
167,5.6,74000,0
168,0.5,66000,0
169,1.1,59000,0
170,5.1,61000,0
171,6.2,70000,0
172,6.6,56000,1
173,6.3,76000,0
174,6.5,78000,0
175,5.1,59000,0
176,9.5,74000,1
177,4.5,64000,0
178,2,54000,0
179,1,52000,0
180,4,69000,0
181,6.5,76000,0
182,3,60000,0
183,4.5,63000,0
184,7.8,70000,0
185,3.9,60000,1
186,0.8,51000,0
187,4.2,78000,0
188,1.1,54000,0
189,6.2,60000,0
190,2.9,59000,0
191,2.1,52000,0
192,8.2,87000,0
193,4.8,73000,0
194,2.2,42000,1
195,9.1,98000,0
196,6.5,84000,0
197,6.9,73000,0
198,5.1,72000,0
199,9.1,69000,1
200,9.8,79000,1
