Feature_1,Feature_2
-7.945746061,7.608246192
-6.182817592,-5.575875367
2.91352697,-2.14414576
-2.536895353,-4.104340071
-3.391590755,3.621103586
3.148476692,4.111303611
4.657100127,3.508475938
0.083156564,2.23749294
4.28566869,6.311583771
-6.803868541,6.09593171
3.052100552,-3.031296564
8.658242227,2.531379855
-1.794961474,1.779219996
6.029070466,3.075132998
5.928731392,8.086243205
6.019059924,3.276808947
2.805911591,-2.914791889
3.834952252,-2.802664235
-6.048450229,5.978837542
-3.838950469,3.348420162
2.735691659,-2.706817991
-5.357211962,-4.314880965
-5.377545493,-4.128839522
2.203503133,-2.779762631
-4.161606462,4.017282464
-4.669654837,-5.450979642
5.400689977,5.763087535
-4.775206506,-5.498159616
6.584085214,5.334858371
-7.86170307,7.030031479
-2.05470322,2.292007339
-0.991227741,1.216851225
8.130969078,1.447289691
7.109037987,1.968493151
7.249109259,2.687626803
2.955858976,-1.710145331
3.268254922,-3.449233991
6.323499593,4.321864501
2.81043613,-3.10179018
-1.707439143,1.323105643
-4.367174442,-5.727509964
-3.20496892,1.078642922
8.399778495,2.991190662
-7.451158858,7.5517408
3.490186152,6.709817842
-5.700494603,-6.106239785
-7.95191846,7.077480519
-6.182868997,-4.084996765
7.44710917,1.361189907
4.808676319,7.266732395
8.282118408,-3.955074357
7.190007358,-6.714402357
-4.169968045,-5.408013119
-4.289425613,3.182196355
-2.433159399,3.391195764
-1.270524188,2.223930948
5.819426372,5.009633405
7.130901677,3.466249728
3.78559472,5.636091567
6.915858502,-4.974226306
6.832623734,-6.247654038
-4.073511301,-4.366669845
10.04519125,2.80013341
4.081343938,5.542255288
-5.785206921,-4.630317221
5.424042773,-6.623340858
-6.768554077,7.646489538
3.151317733,-3.377137925
-4.48369924,-3.905094754
0.258429396,3.614504055
4.683304642,3.519230709
-4.270991455,2.968212147
1.341774263,4.798581257
9.707990315,1.146896554
3.554091408,-3.519952964
8.367247562,2.495717815
-4.335731347,-5.684867061
3.270731364,-2.62042242
-4.71069118,-5.516095804
7.499493128,1.882945736
-3.248157653,-5.646638628
6.689075376,4.922909415
-6.379934266,-5.449830023
-1.407163776,2.312808519
-0.877185928,3.525866114
-3.611141148,2.356919442
-7.053904849,6.01769642
4.356046663,3.96136853
-5.292331504,2.349342398
-4.251838052,2.07176662
2.159578,5.319940561
4.714941447,4.463831866
2.693298668,-3.151234843
6.594464526,-4.107430981
3.109752852,4.075457888
7.941780255,2.065586688
7.821856044,3.861115704
1.36363961,6.326068095
2.665954773,-2.503978825
5.213831936,-8.867235874
2.930772008,-3.612149118
6.606672277,-4.022691905
-4.205776863,2.949880524
-4.087817982,3.229515667
-3.491051279,-4.86033775
4.623420137,-4.073837577
2.875654437,-2.196327212
